LGA,District_Code,State,area kmsq,lat,long,population,geopode pop,geopode pop 0-4
Ibarapa North,NGA644,Oyo,1229.802792,7.640334988,3.165891482,137163,78717,9893
Ido,NGA645,Oyo,996.824188,7.511614108,3.722673864,281280,530651,66526
Irepo,NGA646,Oyo,1003.199438,9.015688555,3.923224306,158067,83316,11890
Iseyin,NGA647,Oyo,1364.415507,7.857703637,3.532104703,334340,278101,34451
Itesiwaju,NGA648,Oyo,1534.193148,8.196434032,3.514434994,171747,58497,7768
Iwajowa,NGA649,Oyo,2558.544291,8.00839307,3.014197155,136684,78964,10339
Kajola,NGA650,Oyo,616.2114881,8.026918323,3.356241448,262915,89402,11987
Lagelu,NGA651,Oyo,342.3412609,7.504660875,4.065855994,264203,563549,68535
Ogbomosho North,NGA652,Oyo,187.3646929,8.152071484,4.26772646,287329,281276,35693
Ogbomosho South,NGA653,Oyo,69.29213558,8.077217038,4.235474578,102174,157812,19479
Ogo Oluwa,NGA654,Oyo,373.8683709,7.955001633,4.212829648,49708,62597,8177
Olorunsogo,NGA655,Oyo,1088.577693,8.775295064,4.083244242,101559,70061,9777
Oluyole,NGA656,Oyo,635.0454636,7.195231675,3.885242727,202109,448666,54966
Ona-Ara,NGA657,Oyo,292.6067508,7.265768268,4.040435622,342460,287271,35068
Orelope,NGA658,Oyo,933.4864262,8.818320331,3.797943494,139175,85147,11941
Ori Ire,NGA659,Oyo,2150.406554,8.345340823,4.142894696,212527,134352,17582
Oyo East,NGA660,Oyo,145.8123839,7.875521851,4.025428458,145269,55230,7292
Oyo West,NGA661,Oyo,532.6768965,7.933980753,3.821033267,210528,360191,46400
Saki East,NGA662,Oyo,1595.327215,8.697004438,3.601091721,94889,67760,9698
Saki West,NGA663,Oyo,2043.039719,8.611308297,3.125034702,337703,346855,49584
Surulere2,NGA525,Oyo,864.2488815,8.089454415,4.414141404,184557,83494,10740
Barikin Ladi,NGA665,Plateau,1061.499019,9.544144118,8.923214488,266061,164126,27224
Bassa2,NGA472,Plateau,1773.91679,10.07716205,8.782325643,279800,156473,27307
Bokkos,NGA667,Plateau,1727.17897,9.213352332,8.92180741,245630,206770,33931
Jos East,NGA668,Plateau,1050.786736,9.885368235,9.119668498,104859,39801,7171
Jos North,NGA669,Plateau,300.5256059,9.934143123,8.905021934,434699,590384,89861
Jos South,NGA670,Plateau,525.0766514,9.749990326,8.833023627,512545,637579,98929
Kanam,NGA671,Plateau,2671.321712,9.498684811,10.09797003,163669,147159,27850
Kanke,NGA672,Plateau,951.3855884,9.387780815,9.629878628,84942,77765,14288
Langtang North,NGA673,Plateau,859.7641128,9.088971468,9.815409287,183200,176368,31816
Langtang South,NGA674,Plateau,1214.932973,8.59608019,9.813459934,125461,119428,20591
Mangu,NGA675,Plateau,1698.742885,9.400928708,9.182291665,388841,254283,43663
Mikang,NGA676,Plateau,758.0764629,9.010510114,9.599319418,121524,79534,14273
Pankshin,NGA677,Plateau,1564.428472,9.270173688,9.438492189,269868,145387,25848
Qua'an Pan,NGA678,Plateau,2537.158339,8.75402992,9.161052866,259240,242619,41102
Riyom,NGA679,Plateau,830.0294978,9.564268217,8.690138779,177067,89494,14846
Shendam,NGA680,Plateau,2535.183359,8.693513827,9.528201005,274989,287089,49536
Wase,NGA681,Plateau,5156.942293,9.071781544,10.21813722,153801,214841,39570
Abua-Odual,NGA682,Rivers,708.6342386,4.838539564,6.562096308,360938,80480,11191
Ahoada East,NGA683,Rivers,343.5298478,5.065359189,6.641019796,259886,231864,31146
Ahoada West,NGA684,Rivers,406.1537771,5.051763077,6.516605685,281322,72691,9915
Akuku Toru,NGA685,Rivers,1449.3521,4.532063974,6.679625271,384561,17647,2483
Andoni,NGA686,Rivers,226.5325167,4.502950279,7.3931698,307930,78354,13985
Asari-Toru,NGA687,Rivers,113.3568408,4.752278398,6.852637506,255061,29718,4087
Bonny,NGA688,Rivers,618.2516403,4.514403955,7.194221256,229601,106955,20727
Degema,NGA689,Rivers,997.3403471,4.579535759,6.929668896,351938,65920,9402
Eleme,NGA690,Rivers,139.0122821,4.789342151,7.142975177,169325,240447,33490
Emohua,NGA691,Rivers,837.2154231,5.003130745,6.777577373,280697,205734,27600
Etche,NGA692,Rivers,811.5237448,5.088175524,7.092851146,374338,464001,61699
Gokana,NGA693,Rivers,126.7583238,4.664323352,7.29441757,338511,157641,25876
Ikwerre,NGA694,Rivers,660.4679698,5.063990453,6.906064854,234586,369621,47101
Khana,NGA695,Rivers,564.116041,4.679771738,7.43546236,402367,309704,52662
Obia-Akpor,NGA696,Rivers,261.442547,4.865739372,7.012537343,599947,1461317,176630
Ogba-Egbema-Ndoni,NGA697,Rivers,977.4862898,5.398500198,6.636043376,390069,388502,51388
Ogu-Bolo,NGA698,Rivers,89.27815712,4.666602596,7.198155974,159175,15276,2217
Okrika,NGA699,Rivers,223.4871545,4.687209032,7.100875097,300156,103923,13785
Omumma,NGA700,Rivers,171.3198193,5.085359433,7.233839303,87522,119433,16041
Opobo-Nkoro,NGA701,Rivers,124.4619183,4.510310589,7.506599879,159916,3511,596
Oyigbo,NGA702,Rivers,249.5447963,4.835915956,7.320790837,102329,256984,35201
Port-Harcourt,NGA703,Rivers,109.9865521,4.775881349,7.023499597,575910,481295,54718
Tai,NGA704,Rivers,159.6591941,4.761514976,7.255182733,245676,55008,8170
Binji,NGA705,Sokoto,587.3165446,13.19606126,4.839641917,109074,91203,19503
Bodinga,NGA706,Sokoto,591.682024,12.83776935,5.180082725,229134,346078,74047
Dange-Shnsi,NGA707,Sokoto,1269.57271,12.82908077,5.423027075,370196,434273,93568
Gada,NGA708,Sokoto,1390.644718,13.68200808,5.725403386,209670,334802,73412
Gawabawa,NGA709,Sokoto,1045.101076,13.43188623,5.349267703,263663,193835,42514
Goronyo,NGA710,Sokoto,1796.305339,13.36387321,5.789914225,227177,133032,28465
Gudu,NGA711,Sokoto,3655.303863,13.4312257,4.498911267,108546,239847,52136
Illela,NGA712,Sokoto,1283.504876,13.67716192,5.369349102,306475,242760,52341
Isa,NGA713,Sokoto,2274.035715,13.20338615,6.337757491,198679,172783,38129
Kebbe,NGA714,Sokoto,2724.069261,11.91551522,4.729848247,156510,80687,16485
Kware,NGA715,Sokoto,582.9627484,13.15937691,5.294006564,217367,229476,49515
Rabah,NGA716,Sokoto,2557.073963,12.99258221,5.732009562,177618,150725,32845
Sabon Birni,NGA717,Sokoto,2492.643461,13.47432394,6.265904888,273920,358977,79992
Shagari,NGA718,Sokoto,1393.622812,12.53769434,5.112305543,232861,181435,38640
Silame,NGA719,Sokoto,829.0157479,12.9917694,4.812620832,132645,94763,20329
Sokoto North,NGA720,Sokoto,53.48438284,13.07322529,5.22433382,179861,257117,48024
Sokoto South,NGA721,Sokoto,43.17934869,13.02655508,5.239280288,331892,367624,68186
Tambuwal,NGA722,Sokoto,1792.945411,12.35137569,4.817681952,260635,252025,51225
Tangaza,NGA723,Sokoto,2604.750189,13.48798687,4.971269765,134829,152454,32562
Tureta,NGA724,Sokoto,2494.141102,12.47506203,5.504105473,145599,88489,18610
Wamako,NGA725,Sokoto,732.1457002,13.07781031,5.093968412,172019,502131,102084
Wurno,NGA726,Sokoto,720.7178903,13.24575137,5.510456987,263178,168526,36538
Yabo,NGA727,Sokoto,826.4388294,12.78113705,4.950022921,106333,113493,24252
Ardo-Kola,NGA728,Taraba,2312.186022,8.81111659,11.1720614,76180,126871,21987
Bali,NGA729,Taraba,9319.188216,8.133457558,10.9979789,290189,364603,58363
Donga,NGA730,Taraba,3175.725746,7.638764464,10.24998482,167661,204414,31180
Gashaka,NGA731,Taraba,8519.504311,7.507956481,11.37027233,111896,95871,14361
Gassol,NGA732,Taraba,5665.13097,8.44364101,10.54318814,297840,542243,93904
Ibi,NGA733,Taraba,2728.871494,8.346069368,9.807807277,99741,109954,18556
Jalingo,NGA734,Taraba,195.0711414,8.919496898,11.32642404,119307,319311,50145
Karin-Lamido,NGA735,Taraba,6784.789243,9.202007003,10.86311381,215980,292913,55430
Kurmi,NGA736,Taraba,4413.420829,7.209964952,10.6237127,109871,89965,12738
Lau,NGA737,Taraba,1700.142949,9.184850304,11.41019545,99048,160333,29409
Sardauna,NGA738,Taraba,4653.870888,6.876165566,11.22708952,289172,270747,40386
Takum,NGA739,Taraba,2542.230271,7.150192468,9.885653624,194527,311164,46108
Ussa,NGA740,Taraba,1515.611561,7.074690367,10.03341601,81331,134343,19537
Wukari,NGA741,Taraba,4391.814086,7.974838037,9.814912032,363116,458402,71809
Yorro,NGA742,Taraba,1303.578412,8.896286252,11.54246435,203913,208582,36673
Zing,NGA743,Taraba,1052.44977,8.879927696,11.7448043,148162,467221,80835
Bade,NGA744,Yobe,809.6615991,12.72540091,10.90905511,184619,164675,38099
Bursari,NGA745,Yobe,4003.655874,12.71710605,11.41731511,141802,138251,31922
Damaturu,NGA746,Yobe,2461.407798,11.79124595,11.97315437,118125,260520,55735
Fika,NGA747,Yobe,2293.217039,11.37769501,11.21871251,212449,225975,50868
Fune,NGA748,Yobe,5153.394594,11.8147527,11.41301572,416238,281983,63741
Geidam,NGA749,Yobe,4560.199651,12.64278471,12.07144646,209489,212245,49240
Gujba,NGA750,Yobe,3358.438613,11.3552346,11.94690805,168132,232860,51402
Gulani,NGA751,Yobe,2161.894702,10.94454293,11.67700653,166276,209888,45869
Jakusko,NGA752,Yobe,4125.927897,12.41723385,10.90122986,298377,170543,39378
Karasuwa,NGA753,Yobe,1221.939504,12.96182324,10.77737815,132210,102669,23820
Machina,NGA754,Yobe,1277.350703,13.04641097,10.01649135,76630,107036,24701
Nangere,NGA755,Yobe,1021.259467,11.81311331,10.9673148,74760,201951,45479
Nguru,NGA756,Yobe,964.0314681,12.9790195,10.40328472,181909,161249,35726
Potiskum,NGA757,Yobe,581.7929205,11.71284273,11.15689995,321517,436593,90531
Tarmua,NGA758,Yobe,4794.713528,12.20540154,11.80399048,114576,129785,29858
Yunusari,NGA759,Yobe,3981.1041,13.0998661,11.76673894,164064,208497,48798
Yusufari,NGA760,Yobe,4128.159948,13.17691383,10.89328045,126179,172441,40192
Anka,NGA761,Zamfara,2864.202932,11.93186092,5.981271476,245546,147198,30768
Bakura,NGA762,Zamfara,1432.244867,12.61939092,5.86183516,129502,155311,32798
Birnin Magaji,NGA763,Zamfara,1244.767867,12.43553591,6.895481931,218282,195598,42132
Bukkuyum,NGA764,Zamfara,3350.012348,11.94735599,5.58075667,266482,236688,49602
Bungudu,NGA765,Zamfara,2396.072933,12.11162659,6.540347484,449870,323408,67278
Gummi,NGA766,Zamfara,2720.044074,12.02316058,5.14710155,223100,271965,56544
Gusau,NGA767,Zamfara,3509.380982,11.81068769,6.736947327,456543,466327,91479
Kaura-Namoda,NGA768,Zamfara,909.7613163,12.5210769,6.594595461,414582,261239,54667
Maradun,NGA769,Zamfara,2864.50032,12.75746444,6.254348442,304370,181645,38977
Maru,NGA770,Zamfara,6921.865071,11.49997038,6.300296902,322168,380615,79107
Shinkafi,NGA771,Zamfara,709.7335588,13.02994568,6.497542271,133436,130736,28866
Talata Mafara,NGA772,Zamfara,1496.568698,12.36794665,6.048957885,315943,190255,39780
Tsafe,NGA773,Zamfara,1772.371767,11.8521164,6.901016088,224081,264557,54049
Zurmi,NGA774,Zamfara,2978.280695,12.81642667,6.767546644,474949,251765,54868
